px_true,py_true,vx_true,vy_true,yaw_true,px_estimate,py_estimate,vx_estimate,vy_estimate,yaw_estimate,Sensor Type,NIS
-25.2157,4.2851,2.5413,4.2069,1.0274,-25.3758,4.2922,2.4307,4.1695,1.0430,R,0.6076
-25.0863,4.4940,2.6407,4.1506,1.0042,-25.2159,4.5031,2.5979,4.0877,1.0047,L,2.0225
-24.9518,4.7000,2.7382,4.0925,0.9811,-25.0660,4.7020,2.6692,4.0367,0.9866,R,9.0515
-24.8126,4.9030,2.8336,4.0327,0.9583,-24.9466,4.8994,2.7413,3.9769,0.9673,L,0.4337
-24.6686,5.1030,2.9270,3.9713,0.9356,-24.7903,5.0908,2.8585,3.8945,0.9376,R,2.3200
-24.5201,5.2999,3.0183,3.9084,0.9132,-24.6240,5.2966,2.9838,3.8278,0.9087,L,0.9251
-24.3670,5.4937,3.1075,3.8440,0.8909,-24.4518,5.4712,3.1755,3.6742,0.8581,R,0.8423
-24.2095,5.6841,3.1946,3.7783,0.8689,-24.2637,5.6425,3.3202,3.5490,0.8187,L,1.2041
-24.0477,5.8713,3.2796,3.7113,0.8471,-24.0977,5.8050,3.4470,3.4133,0.7805,R,3.0479
-23.8818,6.0551,3.3624,3.6431,0.8254,-23.9216,5.9666,3.5512,3.2973,0.7483,L,0.0318
-23.7117,6.2354,3.4430,3.5738,0.8040,-23.7785,6.1631,3.4443,3.3899,0.7774,R,4.9589
-23.5377,6.4123,3.5215,3.5036,0.7828,-23.6105,6.3223,3.5134,3.3024,0.7545,L,0.1240
-23.3598,6.5856,3.5978,3.4324,0.7619,-23.4601,6.5045,3.4917,3.3154,0.7595,R,1.5948
-23.1781,6.7553,3.6718,3.3604,0.7411,-23.2454,6.7087,3.5981,3.2887,0.7405,L,4.1859
-22.9928,6.9215,3.7438,3.2877,0.7206,-23.0474,6.8528,3.6785,3.1876,0.7140,R,5.4778
-22.8040,7.0839,3.8135,3.2143,0.7003,-22.8387,7.0207,3.7697,3.1178,0.6910,L,1.1108
-22.6117,7.2427,3.8811,3.1404,0.6803,-22.6253,7.1519,3.9073,2.9485,0.6464,R,1.7661
-22.4161,7.3978,3.9465,3.0660,0.6605,-22.4403,7.3017,3.9545,2.8776,0.6290,L,0.2522
-22.2173,7.5492,4.0097,2.9912,0.6409,-22.2123,7.4177,4.1477,2.6217,0.5637,R,2.7615
-22.0154,7.6968,4.0709,2.9161,0.6216,-22.0317,7.5810,4.1747,2.5920,0.5556,L,2.1391
-21.8105,7.8406,4.1299,2.8407,0.6025,-21.8491,7.7534,4.1277,2.6671,0.5737,R,5.6891
